Runyoro,English
"kakuba omuntu afwa, ekyaro kyona kija okunahukara, oba babamanyire muno tibabamanyire rundi","When someone has died, the whole village comes to pay respects, whether they knew them well or not."
Hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.,"The the of this century ,we will have transformed our relationship with nature."
tarukwija kufika omugabo gwa abakama babizinesi,He will never miss a dividend payment.
omukago gw'obusubuzi omuhyaka ebitundwa gwimukya aheru,The new trade deal boosts exports.
omulimi ayombire omusiri gwe wiiki gwamuhogo ehwaire,The farmer has weeded his cassava field last week.
"Omukyaro kyaitu omuntu obwafa ,abasi,bensi boona baterana bazagika abafeerwa.","When someone die in our village , the whole community comes together to support the family."
"ekiniga kiaizira omubicweka ebiro ebimu kwikya, ebiro ebindi tinkusobora","The grief came in waves some days l can breath, some days l can't."
"nyikaire ntakukinihira ngu ninyija kugura eka yange, baitu ndi hanu, ninyija kutekaho omukono hakipapura wiiki ekwija","I never will think l'd be able to buy mu own home, but here l am, signing the papers next week."
ekika kaitu kikaba kine engeri y'okutangira omwaka omuhyaka eyembaganiza,Our clan had its own special way of welcoming the new year.
okutwarwa kwitaka kukaletera abalimi okuleka itaka lyabo kandi ummbuga bakagenda,The soil erosion forced farers to abandon their land and move to cities.
embya y'omukisaka nija kuhambya impala mayiro nyingi ejwahire okuhikya,The wild dog will chase the impala for miles until it tired out.
okaire okuba oyonjire amaino gawe emirundi ebiri buli mwaka,You needed to your teeth cleaned twice a year.
omusoro gwa aberambanda gukahambiriza baingi omubusibi,Colonial taxation forced many into wage labor.
Enganikyo zoleka ebya abantu abakuru,Oral history projects record elders'
ebyafayo eby'okubaza byolekere okwijuka kw'abantu abakuru,Oral has projected record elders ' memories.
abantu bombekere iramizo erihyaka namebere bona batina,The community has built new shrine at the sacred spring.
obujanjabi bukozire hamu n'emibazi endi,The medication has interacted with other drugs.
gw'obusubuzi omuhyaka gwimukize ebitundwa aheru,The new trade deal has boosted exports.
gavumenti eresireho enkora empyaka hali abalimi abakulima ebyokulya,The provided subsidies farmers who practice sustainable agriculture.
kaitu ekyaro kiraguma nikiyamba abo boona abatakwesobora,Our village will always help those who are in need.
anaga enjura naija kuzina nukwo enjura egwe egi eyitukwendera ebirimwa ijo,The rainmaker will dance to bring the rain that we for the yesterday.
eka yaitu ebaire amagesa nejaguza namazina agokusima itaka,Our family has always celebrated the harvest with a dance that thanks the earth.
ninja kwirukira mwa munyani wange omukuru nyencya,I will run into an old friend yesterday.
Okusendwa kw'itaka kuleteriize abalimi kuleka itaka lyaabo bakagenda mu bibuga.,The soil erosion has been forcing forcing farers to abandon their land and move to cities.
omusoro gwa aberambanda nigwija kuhambiriza baingi omubusibi,Colonial taxation will force many into wage labor.
"gunu omurundi wiiki erukwija, tubyame kubyama hamusa gwenyanja","This time next week, we lay on a beach."
Nuwe yangambiire ngu kirungi kusaba obuyambi.,He's one who taught me that it's to ask for help.
kakuba gavumenti yataireho gwahansiho omuhendo habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka,"If the government had subsidized solar panels, more people would use renewable energy now."
balima ni omusiri bakozesa turakita,They plowed the fields using a tractor.
"Akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo"".","She told me , ""The sun will rise again tomorrow, and so will you""."
"hakumalira ye kyasa kinu, tuhindura ekoragana n'ebyobuhangwa yaitu","The the end of this century, we transform our relationship with nature."
"kakuba obaire noyenda okwetegereza ebyobuhangwa baitu, n'ebyokulya tandika baitu.","If you wanted to understand our culture, start with our food."
omulimi naija kwombera omusirigwe gwamuhogo wiiki ekwija,The farmer will weed his cassava field next
ataaha omukazi naworoza hamu nokulinda,She had been collecting indigenous seeds for preservation.
nitwija kuha okusima emyoyo y'murusozi habwe emyandara amabale,We will give thanks to spirits of the mountains for the rocks and stones.
buli muntu oratangatangaineho amanyire ky'otamanyire ekintu - nigw'omugisa kukyega,Every person you have met knows something you don't — that's a chance to learn.
ebyafayo eby'okubaza byayolekaga okwijuka kw'abantu abakuru,Oral history projected record elders ' memories.
Kakuba gavumenti yakozeseze kare amaani Twakubaire lwiina ebitwehinguliriize ebyeowruuu muno.,"If the government had invested in renewable energy earlier, we could have a cleaner environment now."
omusomesa wange owunyenda naija kungamba nkaba nyina ekisembo kyokuhandika ebigambo ebi bikasigara,My favorite teacher will tell me that i had a gift- for writing those words stayed with me.
"kakuba nkugambira ekintu kimu hali ekiniga,kiri ngu tokwija kukirugaho-nokirabamu","If I told you one thing about grief, it's that you never get over it-you get it."
"omuro gutagwe mpaka nyenkya,ogaruke hairwaro","If the fever not go down by tomorrow, come back to the clinic."
"kakuba gavumenti etekamu sente omubintu ebikyegarukamu kara, ntusobora okuba nebyobuhangwa ebiyonjo","If the government in renewable energy earlier, we could have a cleaner environment now."
"mutabani wange naija kukaguza,""ruhanga ali nkaha?"" ninjakusomnga hamutima n'ogwe gwange","My son will ask me,""Where is God?""I pointed to my heart and his."
enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru,The new trade deal has agricultural exports.
ekitebe ky'abantu kisagikire bandi okuterayo kandi akazina kamu,The crowd has cheered for the band to play one more song.
embya y'omukisaka nija kuhambya impala mayiro nyingi okuhikya ejwahire,The wild dog will chase the impala for miles until it tired out.
"omuntu weena owotaganana tangana anyina ekyamanyire iwe , ekyotamanyire kandi kinu nikisemera kukuha omugisa okwega",Every person you meet knows something you don't—that's a chance to learn.
irwaro rikatekaho obujanjabi abaine enda,The clinic provided prenatal care for expectant mothers.
omutendereza naija abakuru kumanyira nekizina kye ijo,The praise singer will honor the chief's bravery with his song yesterday.
"Kakuba ntaratungire obumanzi bw'okubaza nawe eki, twakuferirwe buno obunywani.","If l hadn't mustered the courage to talk to her that day , we would have missed out on this friendship."
abekento alipota bamalirizege y'omwaka,The finance team has finalized the annual report.
omusoro gwaberambanda guhambirize baingi omubusibi,Colonial taxation has forced many into wage labor.
"Enyunyuzi zaaka kukungi obuziba zili haraha ,n'etaara zomwabuga.",The stars shine brightly in the night sky away from city lights.
nguzire ebuntu omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
"gunu omurundi wiiki erukwija, kubyama nitwija hamusa gwenyanja","This time next week, we will lie on a beach."
Pamba ekafooka ekirimwa ekirukuleeta entahya omu Uganda omukutandika okwekyasa ekya 20.,Cotton became a major cash crop in the early 20th century Uganda.
"kakuba isomero nirinja kukubuza obusinge, tekerezamu haliyo omulingo gundi gwona","If school will make you miserable, consider whether there's another way."
ngura ebintu omu supamaketi buli wiiki,I bought groceries from the supermarket every week.
nyikaire ninyetagisibya sukali okusara,I have needed to cut down on sugar.
yemizaano yaharutuutu empyaka nijja kwoolekaga emizano yasekisipiya buli bwiirre oburutagata,The new theater will stage Shakespeare plays every summer.
nkairukira mwamunwani wange ijo omukuru,I run into an old friend yesterday.
omusaija akateka sente ze omumasamba,He invested in a real estate investment trust.
nyegere okwenyumirizamu ndi muburumi-nikimanyisa nkyali mwomezi,I have learned be grateful even in pain-it means I'm still alive to feel.
Itwe emizimu tusiima ey'omunsozi nomumyandara namabaale.,We give thanks to the spirits of the mountains for the rocks and stones.
embina yomukisaka ekairukya empara habwa mairu nyingiho kuhirya obuyajwahire,The wild dog chased the impala for miles until it tired out.
"omurundi gw'okubanza okugenda mwoyomubudabuda, nkatina ekinazonzora hali nyowe","The first time I go to therapy, I was terrified of what I might discover about myself."
nija kwemera kurungi muno omumaizi gahaihi,The egret will stand perfectly still in the shallow water.
nyegere okwenyumirizamu ndi nobukuba muburumi-nikimanyisa nkyali mwomezi,I have learned to be grateful even in pain-it means I'm still alive to feel.
busayo ekibi nkokurubata mukigana otajaire sokisi,There was nothing worse than stepping in a puddle socks on.
embuzi omubazi bazihare gw'enjoka nkabuliro,The goats have regularly been dewormed.
okaba oine okujwara pulasita kumara wiiki mukaaga,You needed to wear a cast six weeks.
"Nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti","I never thought l'd be able buy mu own home , but here l am , signing the papers next week."
igana lyabantu bakatoka nokusemererwa omukoro gutakatandikire,The crowd buzzed with excitement before the show starts.
omutezi naijakuteranizaho wenanga omulere ha bandi,The harmonica player will add a bluesy feel to the band's sound.
ninyija kusunga ekituru kyomutini ekirikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I will watch shadow puppet show that told the story of a great king yesterday.
"Nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija.","I never thought l'd be able to buy mu own home , but here l am , signing the papers next week."
obujanjabi bubaire nyingi bwasente baitu nibukoraho,The treatment has been expensive but effective.
"nyikaire ntakukinihira ngu ninyija kugura eka yange, baitu ndi hanu, ninyija kutekaho omukono hakipapura wiiki ekwija","I never will think l'd be able to buy mu own home, but here l am, signing the papers next week."
omulimi ayombire omusiri wiiki gwamuhogo ehwaire,The farmer weeds his cassava field last week.
noija kwetagisa okutekaho kwokya rundi aisi nambere hatungire obuhuta,You will need to apply heat or ice to the injured area.
omusaija ateka sente ze omumasamba,He invests in a real estate investment trust.
izaniro ly'emizano elihyaka balitekanize shakespeare azanira musizoni y'omusana,The new theater has staged Shakespeare plays every summer.
"kakuba gavumenti erakehya omuhendo gwa sola pano, abantu baingi nibaija kutandika kukozesa amasanyarazi","If the government will subsidize solar panels, more people would use renewable energy now."
Uganda ey'ekyasa ekya eri 19 omubihandiiko ebyabakwenda abenjiri.,Missionary writings document 19th century Uganda.
nibaija abantu kwehumuzamu habizina ebymporampora,The crowd will back sway and forth to the slow music.
abasaija abato bakombekere orugo oruhyaka r'ente,The young men built the new kraal for the cattle.
ebyenfuna nibija kuhambiriza emihendo okweyongera y'ebintu muno,The economy will face inflationary pressures.
Nuwe yangambiire ngu kusaba kirungi obuyambi.,He's the one who taught me that it's okay to ask for help.
ninyija kusabira obusinge omumadini gona-ntwena tuli baana baruhanga omu,I will pray for peace among all religions-we're all children of the same God.
omulimi naija kwombera omusirigwe gwamuhogo wiiki ekwija,The farmer will weed his cassava field next week.
Ntaaha nyine obuleemezi okutekaho omutiima.,I've been having difficulty concetrating.
nijnja kwenga kwenyumirizamu nobukuba ndi nkyali omuburumi-nikimanyisa mwomezi,I will learn to be grateful even in pain-it means I'm still alive to feel.
ebyafayo eby'okubaza byayolekaga okwijuka kw'abantu abakuru,Oral history projected record elders ' memories.
ekika kyabaiito kulema nikija bunyoro kurugira kimu mukyasi kya 16th,The Babiito dynasty will rule Bunyoro since the 16th century.
"omukazi agambire,""izoba abaire nirija kwimuka nyenkya,kandi naiwe oti.""","She has told me,""The sun will rise again tomorrow, and so will you""."
ninyija ekituru kusunga kyomutini ekirikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I will watch a shadow puppet show that told the story of a great king yesterday.
cukamba y'omuyanja nejakuturukya ehuzo zamakamba okwerwanaho,The sea cucumber will squirt sticky threads to defend itself.
ekitebe kyabantu nikinja kusagika bandi okuterayo akazina kandi kamu,The crowd will cheer for the band to play one more song.
omusoro gwa nigwija aberambanda kuhambiriza baingi omubusibi,Colonial taxation will force many into wage labor.
omulimi naija kugesa amacande ge kandi agatwale hakyoma,The farmer will harvest his sunflower and took it for pressing yesterday.
Enganikyo zoleka ebya abakuru abantu ebibamanyire,Oral history projects record elders' memories.
enyange imerire muno kurrngi omumaizi gahaihi,The egret has stood perfectly still in the shallow water.
"kakuba obaire noyenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu.","If you wanted to understand our culture, start with our food."
okubaira emiti nambere ebaire etemerwe kigarwireho irindiro lyebisoro byomukisaka mukicweka nambere byali,The reforestation project has brought back wildlife that had disappeared from the
"kakuba obaire noyenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu.","If you wanted to understand our culture, start with our food."
nojakwetagisibwa okuyonja amaino gawe emirundi ebiri buli,will need to have your teeth cleaned a year.
Obworaba nogonza ebyobuhangi bwaaitu tandika nebyokulya byaitu.,"If you want understand our culture, start with our food."
empyaka taxi bakagitandikaho omwaka oguhwaire,The new tax was implemented next year.
omukazi akasoroza embibo entoro z'okwahura,She collects indigenous seeds for preservation.
obujanjabi nibwija n'emibazi kukorahamu endi,The medication will interact with other drugs.
naija okundindisa okumara esha yona,She will make me wait for an hour.
ekaimera enyange kurungi muno mumaizi gahaihi,The egret stood perfectly still in the shallow water.
cukamba y'omuyanja ehuzo nejakuturukya zamakamba okwerwanaho,The sea cucumber will squirt sticky threads to defend itself.
Okusendwa kw'itaka kuleteriize abalimi kuleka itaka lyaabo bakagenda bibuga.,The soil erosion has been forcing forcing farers to abandon their and move cities.
