Runyoro,English
nambere orukuhika kukora ruho orukuhika kugoborra,"The more you practice, the better you get."
omukazi aija kukora omukeeto kumara emyaka nyingi atakafokere CFO,She will work in the accounting department for years before she became CFO.
enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosted agricultural exports.
noyetagisa okujwara pulasita okumara wiiki mukaaga,You have needed to wear a cast for six weeks.
ekicweka kyenygesa ey'obuhangwa nikija okusomesa ekumi nekumi zabasomesa omubicweka by'obuhangwa,The environmental education center will train thousands of teachers in environmental topics.
Kukuba oburorwaho bugumizamu hikirra abafumu ahonaho.,"If the symptoms worsen, seek medical attention immediately."
Empingisa y'ensimbi nikara nehinduka tetekaine.,The exchange rate is fluctuating constantly.
Yakugondeze oije ha bugenyibwe.,She'd like you to come to her party.
ekikali kyatooro bakyombekere buhyaka hanyuma y'okugaraho obukama,The Tooro palace has been rebuilt after restoration.
atungire okwelema omubyasente,He achieves financial independence.
obujanjabi nibwija kukorahamu n'emibazi endi,The medication will interact with other drugs.
omusisi gupimirwe musanju nobutonyezi butano ha mizina ya ricita,The earthquake has measured seven point five on the Richter scale.
izaniroly'emizano erihyakalitekanizibwe shakespeare plays buli musizoni y'omusana,The new theater staged Shakespeare plays every summer.
"nkakaguza nyinenkuru nyowe kiki ekiyarozire- akamwenya kandi yagamba,""ekyererezi""","I ask my grandma what she saw- she smiled and said,""Light""."
ebicoli bikasiswa kadoima,The maize crop was damaged by fall armyworm.
"ndozirege enyuma, kandi nayetegeraza akasumi nambere bulikimu kyahindukire","Has back looked, i realize that was the moment everything changed."
amagoba nija okuba ensonga nkuru muno omukusuga sente,The interest rates will be a key factor in investment decisions.
"kakuba nayomiri ahantu hona omunsi, nandikomeremu akacweka akataito omunyanja","If I anywhere lived in the world, I'd choose a small cottage by the sea."
abaseruruzi nibaja kusomaho engrri y'okuhindukahinduka y'enyikara ekutabaniza ebwokulya obubatandikireho enkora empyaka,The researchers will study the impact of climate change on food security when they developed new adaptation strategies.
abarangi barolezeho omukutu gw'okurangira omuhyaka,The marketing team has tested new advertising channels.
tukajaguza amagesa hakumalira kwa sizoni,We celebrated the harvest festival at the end of the season.
"omu 2050, tufirwa ebisa by'enyanja ha kweyongera kwamaizi","By 2050, we lose many coastal areas to sea level rise"
akora nk'omwehanuzaho kumara emyaka atakatahire ekitongole,She works as a freelance consultant for years before she joined the firm.
naija okukora nk'owekento okumar emyaka nyigi atakatandikireho ekitongole ekye,She will work as an accountant for years before she started her own firm.
iguru balisoborwaireho nk'omusiri ogwine ebisaru ebirukugera kuruga hansi- eki ekisisani kibuda buda,Paradise has been described as a garden with rivers flowing beneath it-that image comforts me.
agambire abaire mugenzi wawe omwojo,The one who has told me was your brother.
irwaro line erahuro ry'ebitabu byabarwaire ebikukwataho obwomezi bwabo,The hospital had a patient library with health information.
NRA nejakutandikaho ekora endi,The NRA will develop a parallel administration.
omulimo omukuru omukitebe nigwija okuba okubanza okuba abanyani kandi no okukorahamu,My best group project will be when we became friends first and worked together second.
"omukazi akangamba,""omusana nigwija kujwa omurundi gundi nyenkya, kandi naiwe oti.""","She tells me,""The sun will rise again tomorrow, and so will you""."
"Akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo"".","She told me , ""The sun will rise again tomorrow, and so will you""."
omwani gulinurwe hansi yebituuru bye ebitooke,The coffee has been shade-grown under banana trees.
okaba oine okujwara pulasita kumara wiiki mukaaga,You needed to wear a cast for six weeks.
"kakuba omuro guba tigugwire mpaka nyenkya, ogaruke hairwaro","If the fever has not gone down by tomorrow, come back to the clinic."
nojakwetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka,You will need to have your teeth cleaned twice a year.
"Kakuba oyesanga omunyikara egumire, manya ngu haliyo omuntu hantu arukusabira.","If you're going through something hard, know that someone, somewhere, is praying for you."
bakozesa turakita okulima omusiri,They plow the fields using a tractor.
Noija kwetaagibwa kuteekaho obutagasi rundi obufuki ha kicweka ekihutaire.,You'll need to apply heat or ice to the injured area.
nyinenkuru nyowe naija kuruka ebibo eby'akatale kumara emyaka nyingi,My grandmother will weave baskets for the market for many years.
"ntwena tukamara ekiro kyona ekyamani niturora, nitusaba kandi nitusera okuganyirwa","We have up all stayed night during Laylat al-Qadr, praying and seeking forgiveness."
"kakuba tutulinzire ebibira baitu, ntusobora okulinda engeri eby'ebihangwa eby'emihanda n'emihanda","If we have protected our forests, we can preserve biodiversity and prevent climate change."
ninyijuka akasumi kenyini nikimanya akaba munyani owamazima-atansekereze omukasumi obukaba nidi kubi,I remembered the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.
"kakuba isomero likuburanganize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school has made you miserable, consider whether there's another way."
obutegeki bwendema y'obuhangwa ekaba ninganiza ebintu ebyomugaso,Traditional political systems balanced various interests.
Nkabyara omusiri gunu omwaka-kusunga ebintu nibimera nikisisana kusunga kunihira nikutwaara emihama.,I planted a garden this year-watching things grow feels like watching hope take root.
obutafwali bwomubiri obwomurairebubaire bukwasirwe,The patient's immune system has been compromised.
obubakozire okuseruruza okubatetekanize,When they have made unexpected discoveries.
naija okugumizamu nakora nobuhabaireyo etoko,He will keep on working despite the noise.
ninyija kusanga ruhanga ayanguhire muno omu by'obuhangwa kukira omubyombeko,I will find God more easily in nature than in any building.
"Nkeega kusiima omubusalizi, eki kindagirra nkyali mwomezi.",I've learned to be grateful even in pain-it means I'm still alive to feel.
ninyija okwetagisa esimu yange okuba ecagingire,I will need my phone charging.
omukozi wafilimu akahinduramu omuzanogwe kandi ayetekanize okugwoleka ensi,The filmmaker edited her movie and is ready to show it to the world.
akatekamu sente nyingi muno,He invested in a hedge fund.
Omulingo omuhyaka ogwekirimwa nigwija kugumira oburwaire.,The new crop variety will be resistant to disease.
tukaha abaana okukehebwaho kwemihendo hali abaana abakalimagezi,We have offered student discounts on software.
"kakuba gavumeti eratekamu sente omubintu ebikwegarukamu kara, ntusobora okuba n'ebyobuhangwa ebiyomjo","If the government will invest in renewable energy earlier, we could have a cleaner environment now."
cukama rwomunyanja ekasinduka amahuuzo gamakamba,The sea cucumber squirted sticky threads to defend itself.
Omubazi nigutalibanizibwa omu barwaire abarukurwara obune.,The medication is contraindicated with certain heart conditions.
kiki ekibaire ekyokulya ekitarukwikirizibwa,What has been your dietary restrictions?
"hakumalira ye kyasa kinu, tuhindwire enkoragana yaitu n'ebyobuhangwa","The the end of this century, we have transformed our relationship with nature."
ekitebbe kya uganda porotekita nikija okutangatangana okuhakanizibwa omubitebbe ebindi,The Uganda protectorate will face resistance from various groups.
engo rwa america akatemba omuli yalindiirra ekyokulya kiyaa hansi,The jaguar climbed the tree and waited for its prey below.
amahe gihanga gabaire gacwiremu,The Uganda National Army has been divided.
akora nkwenketo okumara emyaka nyingi atakatandikireho ekitongole ekye,She works as an accountant for years before she started her own firm.
nkaimuka niterwa omutwe buli nyekyakara,I woke up with headaches every morning.
ebirimwa ebisweka ita bitangira okutwarwa kwitaka,Cover crops protected soil from erosion.
bbaasi yokumalisa ekatusingana nahabweki tukaba twina kusaba abanyambabazi kututwa ho kugaruka omu kibuga,"If I could live anywhere in the world, I'd choose a small cottage by the sea."
ayongizeho emirimoye yona hamu habwe ebintubwe ebicwirwemu,He accumulated a portfolio of dividend stocks.
"omurindi gwange ogwokubanza okurora enyunyuzi okuraba omukitangazo, nkahura okubaho kwekintu ekitakuhwayo","The first time I saw the starts through a telescope, I felt the presence of something infinite."
cukamba y'omuyanja eturukize ehuzo zamakamba okwerwanaho,The sea cucumber has squirted sticky threads to defend itself.
omwehanahangi naija kuteera ekisisani nyamugundu ha kisiika kyisomero sabiiti erukwija,The artist will paint a mural on the school wall next week.
obusoro rwomunyanja rusengiija burasengiija amaizi kuraba mubuhuru bwabwo kutunga ekyokulya,The sponge filtered water through its pores to get food.
abasaija abato nibaija okwombeka orugo rw'ente oruhyaka,The young men will build the new kraal for the cattle.
nkagira esaara eyinasabaga kakuba nahuraga oyuro - nikyo kintu ky'okumalira omubwongo bwange,I have had a prayer I say when I'm falling asleep-it's the last thing on my mind.
turukire ebira omwana waitu hanyuma y'emanzi eyalinzire ekyaro kayaitu,We named our son after the warrior who protected our village.
kotoni ebaire kirimwa kyasente muno mukyasi kya amakumi abiri m'uganda,Cotton has become a major cash crop in the early 20th century Uganda.
tukasaba omwoyo atwebembere tutakakozire ekwamu ey'omugaso,We asked the spirits to guide us before we make important choices.
enyikiriza y'obuhangwa ekaba erumu bainsekuru abebika,Traditional religion included ancestor veneration.
embya y'omukisaka ehambizege impala mayiro nyingi okuhikya ejwahire,The wild dog has chased the impala for miles until it tired out.
abantu bakwesoroleza omuka y'omunyoro habw'orukurato,People gathered at the chief's house for the meeting.
aboigolire omuti ogutali nigwo,He has barked up the wrong tree.
Ekitebe kyemizaano erukusekesa eihyaaka nikiija kukinguraho okuzaana kwanyegondize okwekiro habwabazaani abebigene abato.,The new comedy club will have open mic nights for amateur comedians.
"kakuba nkugambira ekintu kimu hali ekiniga,kiri ngu tokwija kukirugaho-nokirabamu","If I told you one thing about grief, it's that you never get over it-you get through it."
Twetoroora Kaaba emirundi musanju omukasumi ka Hajji-kitumanyisa obumu bwabaikiriza.,We circle the kaaba seven times during Hajj-it reminds us of the unity of believers.
UPDF eketaba omubikorwa by'okulinda obusinge,UPDF participated in peace keeping missions.
kiki ekirikwija okuba ekyokwegezamu kyawe kyabulikiro kuba?,What will be your exercise routine like?
abantu bombekere iramizo erihyaka namebere bona batina,The community has built a new shrine at the sacred spring.
kakuba ntaikalire nawe hakiro kyokuba omu isomero obwomeezi bwange bwakubaire butli nkoku buli kasuumi kanu.,"If I hadn't sat next to her on the first day of school, my life would be completely different."
mbaire bulikiro nyijuka akasumi nayetegerizemu isomo eryatabanizaga okumara emyezi,L has always remembered the moment l finally understood a concept l'd struggled with for months
abaire nuwe ogu eyanyegeseze ngu tikine buzibu bwona okukonyezi,He has been the one who taught me that it's okay to ask for help.
notayo kakuba tinyikarra hanu,Do you mind if I sit here?
ninyija okwahura risiti habwesonga z'omusoro,I will keep receipts for tax purposes.
ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro,Traditional music and danced accompained ceremonies.
nitwija okwongezayo waranti hamasanyarazi,We will offer extended warranties on electronics.
ekisoro rwakisahu kikwuka kyagenda kuli nomwaana wakyo mukisahu,The kangaroo hopped away with its baby in its pouch.
nakwikaireho akasumi karaihireho kukira akankaba ntegekere,I wound up staying longer than planned.
"mutabani wange akagwize,""ruhanga ali nkaha?"" nasonga hamutima gwange n'ogwe","My son asked me,""Where is God?""I pointed to my heart and his."
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
omulingo omuhendo gw'ebintu gweyongera kandi gukeha nigwija okutekana,The inflation rate soon stabilized.
"obu ntalirubasire, nkega okuba wamani omubiro obunkaba","When I did not walk, I learned to be grateful for the days I could."
"omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga","By 2030, we have achieved a significant reduction in the loss of biodiversity."
kirwa nikirra hara oburungi,This is by far the best option.
"omulisa wange ali n'eka yaitu okurabira omubuzale, kandi bulikintu hagati yaitu","My pastor is with our family through births, deaths and everything in between."
tujaguza okumalira kw'ekyanda n'ekijaguzo ky'okusima,We celebrate the end of the dry season with a ceremony of thanks.
kanpuni nija okugalihya enkora yayo ey'okusubura habyoma bakalimagezi,The company will expand its e-commerce operations.
okubandwa kubairemu okwikiriza omuruhanga,Traditional religion has included belief in a supreme creator.
"kakuba watilibaine, ekitabu ky'emirimo kyandibalize- kiri hakubonabona n'okwikiriza","If you struggled, the book of job might speak -its about suffering and faith."
