Runyoro,English
"kakuba omuntu afwa omukyaro kyaitu, abantu bona nibaija kwesoroza baije okusagika eka","When someone die in our village, the whole community will together come to support the family."
ekika ky'ababiito kiremere bunyoro kurugira kimu omkyasi kya 16th,The Babiito dynasty ruled Bunyoro since the 16th century.
"kakuba gavumenti omuhendo gwa sola pano, abantu baingi nibaija kutandi kukozesa amasanyarazi","If the government subsidizes solar panels, more people would use renewable energy now."
noyetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka,You needed to have your teeth cleaned twice a year.
anaga enjura azina nukwo enjura egwe egi eyitukwendera ebirimwa baitu ijo,The rainmaker dances to bring the rain that we need for the crops yesterday.
omunya gukacicya omukira gwako kandi hali katoroka ekinyonyi,The skink wiggled its tail and escaped from the bird's grasp.
irwaro nirija kutekaho obujanjabi bw'abazaire enda abaine,The clinic will provide prenatal care for expectant mothers.
izaniroly'emizano erihyakalitekanizibwe shakespeare plays buli musizoni y'omusana,The new theater staged Shakespeare plays every summer.
gavumenti neja kuletaho enkora empyaka hali abalimi abakulima ebyokulya,The government will provide subsidies for farmers who practice sustainable agriculture.
nkaba nyine esaara eyinasabaga kakuba mpura oturo nikyo kintu ky'okumalira bwange,I had a I say when I'm falling asleep-it's the last thing on my mind.
okaire okuba oyonjire amaino gawe emirundi ebiri buli mwaka,You needed to your teeth cleaned twice a year.
bikahambirize ebyefuna emihendo y'ebintu okweyongera muno,The economy faced inflationary pressures.
Hakumaliira kyaasa kwe kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.,"The the end of this century ,we will have transformed our relationship with nature."
omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa,"By 2030, we achieved a significant reduction in loss of biodiversity."
yanyegeseze nuwe ngu tikine buzibu bwona okusaba obukonyezi,He was the one who taught me that it's okay to ask for help.
nitwija kuha amata g'ente hali ag'okubaza ba'isekuru itwe,We will give the first milk from the cow to the ancestors.
erihyakalitekanizibwe izaniroly'emizano shakespeare plays buli musizoni y'omusana,The new theater staged Shakespeare plays every summer.
naija okwenyumirizamu omukucumba kwe,She will pride herself on her cooking.
Abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.,The community has built a new shrine at the sacred spring.
abantu baisoroize omuka y'omunyoro habworukurato,People have gathered at the chief's house for the meeting.
ninyija kusabira obusinge omumadini gona-ntwena tuli baana omu baruhanga,I will pray for peace among all religions-we're all children of the same God.
Pamba ekafooka ekirimwa ekirukuleeta entahya omu Uganda omukutandika okwekyasa ekya 20.,Cotton became a major cash crop in the early 20th century Uganda.
"omuro tigurukwija kugwa mpaka nyekya, ogaruke hairwaro","If the fever will not go down by tomorrow, come back the clinic."
nojakwetagisibwa okuyonja amaino gawe ebiri emirundi buli mwaka,You will need to have your teeth cleaned twice a year.
okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka mukicweka byali nambere,The reforestation project will bring back wildlife that had disappeared from the area.
abaseruruzi basomereho engeri y'okuhindukahindikuka y'enyikara ekutabaniza ebyokulya obubatandikireho enkora empyaka,The researchers have the impact of climate change on food security when they developed new strategies.
ebisisani Ntiirelye rudingisa nabusindika hamura kiro kyaijo.,I drew a funny cartoon and posted it on social media yesterday.
ninja kwirukira mwa munyani wange omukuru nyencya,I will run into an old friend yesterday.
amani g'okwombeka buhyaka geyongire omubicweka ebyali bihikirweho,Reconstruction efforts continued in affected areas.
"ekiniga nikija kwija omubicweka ebimu ebiro nisobora kwikya, ebiro ebindi tinkusobora","The grief will come in waves some days l can breath, some days l can't."
noyetagisa pulasita okumara wiiki mukaaga,You have needed to wear a cast for six weeks.
omukazi aija kukora omukeeto emyaka kumara nyingi atakafokere CFO,She will work in the accounting department for years before she became CFO.
"kakuba ntatunga okwgaramu obumanzi nkabaza nawe titwanditungire kirokinu, obunyani bunu","If l does not muster the courage to talk to her that day, we would have missed out on this friendship."
Omusoro og'wendema eya kukahambiriza baingi kupagasa.,Colonial forced many into wage labor.
omusoro gwaberambanda baingi guhambirize omubusibi,Colonial taxation has forced many into wage labor.
Kiro kyaijo ahaisanizeege omuzini omunyoro habwo bumanzibwe.,The praise singer honored the chief's bravery with his song yesterday.
bakaziha embuzi omubazi gw'enjoka nkabulikiro,The goats were regularly dewormed.
"Akangambira ,""lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo"".","She told me , ""The sun will rise again tomorrow, and so will you""."
ninja kwirukira mwa munyani wange omukuru nyencya,I will run into an old friend yesterday.
atangatagaine bakitunzi kiguzi omukuru,The sales team presented to a major client.
ekiikaro kyokukoorramu emizaano nikiiji naabalema kwanguhira kukutahamu,The new theater will be accessible to people with disabilities.
abantu iramizo bombeka erihyaka nambere bona batina,The community builds a new shrine at the sacred spring.
abaseruruzi nibaja kusomaho engrri y'okuhindukahinduka y'enyikara ekutabaniza ebwokulya obubatandikireho empyaka enkora,The researchers will study the impact of climate change on food security when they developed new adaptation strategies.
ninyijuka akasumi kenyini nikimanya akaba munyani owamazima-atansekereze omukasumi obukaba nidi kubi,I remembered the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.
banka enkuru ekeheze amagoba,The central bank has lowered interest rates.
nguzire ebuntu omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
Kiro kyaijo omuzini ahaisanizeege omunyoro habwo bumanzibwe.,The praise singer honored the chief's bravery with his song yesterday.
Abaikazi bombekere ibandiro lihyaka haiziba,The community has built a new shrine at the sacred spring.
abekento nibaija kumaliriza alipota y'omwaka,The finance team will finalize the annual report.
"kakuba isomero likuburanganize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school has made you miserable, consider whether there's another way."
"akasumi kona ntekereza ntungire okugarukwamu, nyega ekintu kihyaka","Everytime I thought I've figured it out, I learn something new."
"y'omusomo gunu, nitwegesa abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire","By the end of this project, we trained one thousand farmers in organic methods."
tarukwija kufika omugabo abakama gwa babizinesi,He will never miss a dividend payment.
arolera ekitebe emyaka kumara nyingi atakabaire mukuru,She manages a team for years before she became director.
abalimi bakozesaze okuhindura ebijunzire engeri y'itaka,Farmers have used compost to improve soil structure.
"mutabani wange naija kukaguza,""ruhanga ali nkaha?"" ninjakusomnga hamutima gwange n'ogwe","My son will ask me,""Where is God?""I pointed to my heart and his."
"kakuba obaire noyenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu.","If you wanted to understand our culture, start with our food."
Obulemi obw'ababiito bwebembiire Bunyoro kuruga omukyasa ekya ikumi na mukaaga.,The Babiito has ruled Bunyoro since the 16th century.
ekyaro kaitu nikiyamba kibaire abo boona abatakwesobora,Our village has always helped those who are in need.
tihakwija kuba kintu kibi nkokurubata otaine mukigana sokisi,There will be nothing worse than stepping in a puddle with socks on.
tuhaireyo okwongezebwa kwa waranti hamasanyarazi,We offered extended warranties on electronics.
kwikaza Noyetaagwa okuguru kuhanikirwe kukehya okuzimba.,You'll need to keep your leg elevated to reduce swelling.
sitage y'ebyemizano empyaka shakespeare azanira buli youmsana musizoni,The new theater stages Shakespeare plays every summer.
enju yemizaano yaharutuutu empyaka nijja kwoolekaga emizano yasekisipiya buli oburutagata bwiirre,The new theater will stage Shakespeare plays every summer.
enyunyuzi nizija kwaka muno ekiro omumwanya kukira ebitara by'omurubuga,The will brightly shine in the night sky away from city lights.
okutwarwa kwitaka kukaletera abalimi okuleka itaka lyabo kandi ummbuga bakagenda,The soil erosion forced farers to abandon their land and move to cities.
"Kakuba omuswija gutakeeha kikahika nyekya, ogaruke omu karwarro.","If the fever doesn't go down by tomorrow, come back to the clinic."
cukamba y'omuyanja ehuzo eturukize zamakamba okwerwanaho,The sea cucumber has squirted sticky threads to defend itself.
omulimi ayombire omusiri gwamuhogo wiiki ehwaire,The farmer weeds his cassava field last week.
obujanjabi hamu bukakora n'emibazi endi,The medication interacted with other drugs.
omutezi wenanga naija kuteranizaho omulere ha bandi,The harmonica player has added a bluesy feel to the band's sound.
"kakuba isomero lyakubulize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school you miserable, consider whether there's another way."
ebihuka bikarubatira hamu murukara bihimbire ebisosonkole nibibigara omukiju,The ants marched in a long line carrying crumbs back to their nest.
ebyafayo eby'okubaza byayolekaga okwijuka abakuru kw'abantu,Oral history projected record elders ' memories.
ebizina byenzarwa hamu n'okucekeca n'orunyege bibaire mokijaguzo,Traditional music and has danced accompained ceremonies.
"kakuba basi etandeka eki ekiro, kurora tindikwija munyani wange muno","If i will not miss the bus that day, i never would have met my best friend."
abantu omuka baisoroize y'omunyoro habworukurato,People have gathered at the chief's house for the meeting.
"kakuba isomero likuburanganize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school has made you miserable, consider whether there's another way."
Omumirimo eyengaro ahakaba harumu n'okuteera embugo.,Traditional crafts included barkcloth making.
"kakuba omuntu afwa, ekyaro kyona kija okunahukara, babamanyire oba muno rundi tibabamanyire","When someone died, the whole village comes to pay respects, whether they knew them well or not."
tukaha amata g'ente ag'okubaza hali ba'isekuru itwe,We gave the first milk from the cow to the ancestors.
cukamba y'omuyanja ekaturukya ehuzo z'amakamba okwerwanaho,The sea cucumber squirted sticky threads to defend itself.
UPDF eketaba omubitebe kalinda businge.,UPDF has participated in peace keeping missions.
noija okwetagisibwa okwikaza okuguru kwimukize kwawe kukehya okuzimba,You will need to keep your leg elevated to reduce swelling.
Ntiirelye ebisisani nabusindika hamura kyaijo.,I drew a funny cartoon and posted it on social media yesterday.
igana lyabantu bakatoka nokusemererwa omukoro gutakatandikire,The crowd buzzed with excitement before the show starts.
Ndora muno omubimera Ruhanga kukira onubyombeko.,I find God more easily in nature than in any building .
Omurundi gwokubanza nkagenda kutunga obujanjabi ekintu ekibangambiire ekinkaba nsemerire kuzonzora nyowe nyenka.,"The first time I went to therapy, I was terrified of what I might discover about myself."
"kakuba ntalitungire okwegaramu obumanzi nkabaza nawe kirokinu, titwanditungire obunyani bunu","If l did not muster the courage to talk to her that day, we would have missed out on this friendship."
irwaro erahuro ry'ebitabu byabarwaire ebikukwataho obwomezi bwabo,hospital had a patient library with health information.
Ekka yaitu ejaguza amagesa na mazina ag'okusiima ensi.,Our family has always celebrated the harvest with a dance that thanks the earth.
ekihemeheme nkatera kandi nakisindika hamutimbagano ijo,I have drawn a funny cartoon and posted it on social media yesterday.
ekika kaitu kine kikaba engeri y'okutangira omwaka omuhyaka eyembaganiza,Our clan had its own special way of welcoming the new year.
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
tukazika abafu baitu omwitaka baisenkuru itwe bahumura,We buried our dead in the ground where our ancestors rest.
"kakuba abantu batarukwija kulisiza muno, itaka nirija kusigara ry'orwezo","If the community will not overgraze the land, the soil would still be fertile."
UPDF nija okwetaba omubikorwa by'okulinda obusinge,UPDF will participate in peace keeping missions.
enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosted agricultural exports.
banka enkuru ekakehya amagoba,The central bank lowered interest rates.
"kakuba isomero nirinja kukubuza obusinge, tekerezamu haliyo omulingo gundi gwona","If school will make you miserable, consider whether there's another way."
Kugarraho buhyaka ebyasisikaire nukugenda omumaiso omubikaro ebyasisikaire.,Reconstruction efforts in affected areas.
nkasunga ekituru kyomutini nikyoleka ngu kikagamba oruganikyo rw'omukama owamani ijo,I watch a shadow puppet show that told the story of a great king yesterday.
ekika kaitu kigira engeri y'okutangira omwaka omuhyaka eyembaganiza,Our clan has had its own special way of welcoming the new year.
kaliitango y'okwegesa habyobuhangwo ehikireho abantu mukyaaro abarukuhingura,The environmental awareness campaign has reached over one million people.
