Runyoro,English
okucamuka kwamabale hansi omwitaka kuleterire okuhangwaho obuhanga muhagati y'enyanja,The volcanic eruption has created a new island in the middle of the ocean.
okubaira emiti nambere ebaire etemerwe kigaraho irindiro lyebisoro by'omukisaka mukicweka nambere byali,The reforestation project brings back wildlife that had disappeared from the area.
okaire noyetagisibwa okuba amaino oyonjire gawe emirundi ebiri buli mwaka,You have needed to have your teeth cleaned twice a year.
okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka nambere mukicweka byali,The reforestation project will bring back wildlife that had disappeared from the area.
omulimi naija kugesa amacande ge kandi agatwale hakyoma,The farmer will harvest his sunflower and took it for pressing yesterday.
noyetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka,You needed to have your teeth cleaned twice a year.
omulimi amacande agesa ge kandi yagatwara hakyoma ijo,The farmer harvests his sunflower and took it for pressing yesterday.
nyegere okwenyumirizamu nobukuba ndi muburumi-nikimanyisa nkyali mwomezi,I have learned to be grateful even in pain-it means I'm still alive to feel.
nyinenkuru nyowe arukire eby'akatale kumara emyaka nyingi,grandmother has woven baskets for the market for years.
okubaira emiti nambere ebaire etemerwe irindiro kigarwireho lyebisoro byomukisaka mukicweka nambere byali,The reforestation project has brought back wildlife that had disappeared from the area.
byasente nyingi baitu nibukoraho,The treatment was expensive but effective.
omukazi akozire mukeeto kumara emyaka nyingi atakafokere CFO,She has worked in the accounting department for years before she became CFO.
ebihuka nibija murukara kurubatira bihimbire ebisosonkole nibibigara omukiju,The ants will march in a long line carrying crumbs back to their nest.
omulimi ayombire omusiri gwe gwamuhogo wiiki ehwaire,The farmer has weeded his cassava field last week.
ebihuka nibija kurubatira murukara bihimbire ebisosonkole nibibigara omukiju,The ants will march in a long line carrying crumbs back to their nest.
arolera ekitebe kumara emyaka nyingi atakabaire mukuru,She manages a team for years before she became director.
enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosts agricultural exports.
ekyaro kaitu kibaire nikiyamba abo boona abatakwesobora,Our village has always helped those who are in need.
okucamuka hansi kwamabale omwitak nikwija kuletaho okuhangwaho obuhanga muhagati y'enyanja,The volcanic eruption will create a new island in the middle of the ocean.
omusaija ateka sente ze omumasamba,He invests in a real estate investment trust.
omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO,She works in the accounting department for years before she became CFO.
gavumenti neja kuletaho enkora empyaka hali abalimi abakulima ebyokulya,The government will provide subsidies for farmers who practice sustainable agriculture.
nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi,My grandmother weaves baskets for the market for many years.
"hakumalira y'omusomo gunu, nitwegesa abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire","By the end of this project, we trained one thousand farmers in organic methods."
enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga,The new trade deal has boosted agricultural exports.
aija kurolera kumare ekitebe emyaka atakabaire mukuru,She will manage a team for years before she became director.
omukazi abaire nakorra kumara emyaka atkabaire CFO,She works in the accounting department for before she became CFO.
cukamba y'omuyanja nejakuturukya ehuzo zamakamba okwerwanaho,The sea cucumber will squirt threads to defend itself.
omulimi ayombire omusiri gwamuhogo ehwaire wiiki,The farmer weeds his cassava field last week.
"kakuba isomero nirinja kukubuza obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school will make you miserable, consider whether there's another way."
arolerire ekitebe kumara emyaka atakabaire mukuru,She has managed a team for years before she became director.
tihakwija kuba kintu kibi nkokurubata mukigana otaine sokisi,There will be nothing worse than stepping in a puddle with socks on.
ekitebe kyabantu kikasagika bandi okuterayo akazina kandi kamu,The crowd cheered for the band to play one more
nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi,My grandmother weaves baskets for the for many years.
kugura nija ebintu mu supamaketi buli wiiki,I will buy groceries from the supermarket every week.
"kakuba isomero lyakubulize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona","If school made you miserable, consider whether there's another way."
okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka mukicweka nambere byali,The reforestation project will bring back wildlife that had disappeared from the area.
gavumenti eresireho enkora hali abalimi abakulima ebyokulya,The government provided subsidies for farmers who practice sustainable agriculture.
akahuka kajanjaire mubantu muno,The virus widely circulated in the community.
omulimi naija kugesa amacande ge agatwale kandi hakyoma,The farmer will harvest his sunflower and took it for pressing yesterday.
okubaira emiti nambere ebaire etemerwe kigaraho irindiro by'omukisaka lyebisoro mukicweka nambere byali,The reforestation project brings back wildlife that had disappeared from the area.
ebihuka bikarubatira hamu murukara bihimbire ebisosonkole nibibigara omukiju,The marched in a long line carrying crumbs back to their nest.
ebihuka nibija kurubatira murukara bihimbire ebisosonkole nibibigara omukiju,The ants will march in a long line carrying crumbs back to their nest.
nguzire ebuntu omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
abantu nibaija kwesoroza y'omunyoro omuka habw'orukurato,People will gather at the chief's house for the meeting.
omulimi agesire amacande ge yagatwara kandi hakyoma,The farmer has harvested his sunflower and took it for pressing yesterday.
enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosted agricultural exports.
okaire noyetagisibwa okuba oyonjire amaino gawe emirundi ebiri buli mwaka,You have needed to have your teeth cleaned twice a
okubaira emiti nambere ebaire etemerwe kigaraho irindiro lyebisoro by'omukisaka mukicweka nambere byali,The reforestation project brings back wildlife that had disappeared from the area.
tuzika abafu baitu omwitaka nambere baisenkuru itwe bahumura,We bury our dead in the ground where our ancestors rest.
ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro,Traditional music and will dance accompained ceremonies.
ekyaro kaitu kiguma nikiyamba abo abatakwesobora boona,Our village always helped those who are in need.
gavumenti etairo enkora empyaka hali abalimi ebyokulya abakulima,The government has provided subsidies for farmers who practice sustainable agriculture.
