Runyoro,English
NRA ekatandikaho endi ekora,The NRA developed a parallel administration.
nejakutandikaho NRA ekora endi,The NRA will develop a parallel administration.
etandikire NRA enkora endi,The NRA has developed a parallel administration.
omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi hakusisika kwobuhanwa,"By 2030, we achieve a significant reduction in the loss of biodiversity."
omumwaka gw'enkumi ibiri tufunire asaatu okukeha kwingi muno hakusisika kwobuhanwa,"By 2030, we achieve a significant reduction in the loss of biodiversity."
omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa,"By 2030, we achieved a significant reduction the loss of biodiversity."
omwaka ibiri gw'enkumi asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa,"By 2030, we achieved a significant reduction in the loss of biodiversity."
"omwaka gw'enkumi ibiri asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga","By 2030, we have achieved a significant reduction in the loss of biodiversity."
"omwaka ibiri gw'enkumi asaatu, tutungire okukeha kwingi muno mukukeha kw'ebyobuhanga","By 2030, we have achieved a significant reduction in the loss of biodiversity."
arolera ekitebe kumara emyaka nyingi atakabaire mukuru,She manages a team for years before she became director.
arolera ekitebe kumara emyaka atakabaire nyingi mukuru,She manages a team for years before she became director.
aija kurolera ekitebe kumare emyaka atakabaire mukuru,She will manage a team for years before she became director.
aija kurolera kumare ekitebe emyaka atakabaire mukuru,She will manage a team for years before she became director.
arolerire ekitebe kumara emyaka atakabaire mukuru,She has managed a team for years before she became director.
arolerire ekitebe kumara emyaka mukuru atakabaire,She has managed a team for years before she became director.
ekyaro kaitu kiguma nikiyamba abo boona abatakwesobora,Our village always helped those who are in need.
ekyaro kaitu kiguma nikiyamba abo abatakwesobora boona,Our village always helped those who are in need.
ekyaro kaitu kiraguma nikiyamba abo boona abatakwesobora,Our village will always help those who are in need.
ekyaro kaitu kiraguma nikiyamba boona abo abatakwesobora,Our village will always help those who are in need.
ekyaro kaitu nikiyamba abo boona,Our village has always helped those who are in need.
ekyaro kaitu kibaire abo nikiyamba boona abatakwesobora,Our village has always helped those who are in need.
enkoragana empyaka eyobusubuzi imukya ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosts agricultural exports.
enkoragana empyaka eyobusubuzi imukya ye ebitundwa bw'obulimi aheru yihanga,The new trade deal boosts agricultural exports.
enkoragana empyaka eyobusubuzi ekaimukya ebitundwa ye bw'obulimi aheru,The new trade deal boosted agricultural exports.
enkoragana empyaka ekaimukya eyobusubuzi ebitundwa ye bw'obulimi aheru yihanga,The new trade deal boosted agricultural exports.
enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga,The new trade deal has boosted agricultural exports.
enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi yihanga aheru,The new trade deal has boosted agricultural exports.
omusaija ateka sente ze omumasamba,He invests in a real estate investment trust.
ateka omusaija sente ze omumasamba,He invests in a real estate investment trust.
omusaija akateka sente ze omumasamba,He invested in a real estate investment trust.
omusaija akateka sente omumasamba ze,He invested in a real estate investment trust.
omusaija naija kuteka sente ze omumasamba,He will invest in a real estate investment trust.
omusaija naija kuteka sente omumasamba ze,He will invest in a real estate investment trust.
byasente nyingi baitu nibukoraho,The treatment was expensive but effective.
obujanjabi byasente baitu nyingi nibukoraho,The treatment was expensive but effective.
obujanjabi bwali bwasente nyingi baitu nibukoraho,The treatment will expensive but effective.
obujanjabi bwali bwasente baitu nyingi nibukoraho,The treatment will be expensive but effective.
obujanjabi bubaire nyingi baitu nibukoraho,The treatment has been expensive but effective.
bubaire obujanjabi bwasente nyingi baitu nibukoraho,The treatment has been expensive but effective.
nyinenkuru nyowe arukaka ebigega eby'akatale kumara emyaka nyingi,My grandmother weaves baskets for the for many years.
nyinenkuru nyowe arukaka ebigega eby'akatale kumara nyingi emyaka,My grandmother weaves baskets for the market for many years.
nyinenkuru nyowe naija kuruka ebibo eby'akatale emyaka nyingi,My grandmother will weave baskets for the market for many years.
nyinenkuru nyowe naija kuruka ebibo eby'akatale emyaka kumara nyingi,My grandmother will weave baskets for the market for many years.
nyinenkuru nyowe arukire eby'akatale kumara emyaka nyingi,grandmother has woven baskets for the market for years.
nyinenkuru nyowe arukire ebigega kumara eby'akatale emyaka nyingi,My grandmother has woven baskets for the market for many years.
ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro,Traditional music and danced accompained ceremonies.
ebizina byenzarwa n'okucekeca hamu n'orunyege biba mubulimukoro,Traditional music and danced accompained ceremonies.
ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro,Traditional music and will dance accompained ceremonies.
ebizina byenzarwa hamu n'okucekeca mubuli n'orunyegebirabaga mukoro,Traditional music and will dance accompained ceremonies.
ebizina byenzarwa hamu n'okucekeca n'orunyege bibaire mokijaguzo,Traditional music and has danced accompained ceremonies.
ebizina hamu byenzarwa n'okucekeca n'orunyege bibaire mokijaguzo,Traditional music and has danced accompained ceremonies.
omukazi abaire nakorra kumara emyaka atkabaire CFO,She works in the accounting department for before she became CFO.
omukazi nakorra abaire mukeeto kumara emyaka atkabaire CFO,She works in the accounting department for years before she became CFO.
omukazi aija kukora omukeeto kumara emyaka nyingi atakafokere CFO,She will work in the accounting department for years before she became CFO.
omukazi aija kukora omukeeto emyaka kumara nyingi atakafokere CFO,She will work in the accounting department for years before she became CFO.
omukazi akozire mukeeto kumara emyaka nyingi atakafokere CFO,She has worked in the accounting department for years before she became CFO.
omukazi akozire mukeeto kumara emyaka atakafokere nyingi CFO,She has worked in the accounting department for years before she became CFO.
ebintu omu supamaketi buli wiiki,I bought groceries from the supermarket every week.
ngura ebintu supamaketi omu buli wiiki,I bought groceries from the supermarket every week.
nija ebintu mu supamaketi buli wiiki,I will groceries from supermarket every week.
kugura nija ebintu mu supamaketi buli wiiki,I will buy groceries from the supermarket every week.
nguzire ebuntu omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
ebuntu nguzire omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
irwaro line erahuro byabarwaire ebikukwataho obwomezi bwabo,The hospital had a patient library with health information.
line irwaro erahuro ry'ebitabu byabarwaire ebikukwataho obwomezi bwabo,The hospital had a patient library with health information.
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library health information.
irwaro kugira nirija eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
irwaro rigagira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital has had a patient library with health information.
irwaro rigagira ry'ebitabu eryahuro byabarwaire ebirukukwataho obwomezi bwabo,The hospital has had a patient library with health information.
"hakumalira y'omusomo gunu, ni twija kuba twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijunzire","By the end of this project, we train one thousand farmers in organic"
