Runyoro,English
"hakumalira kyasa kinu, tuhindura ekoragana yaitu n'ebyobuhangwa","The end of century, we transform our relationship with"
"hakumalira ye kyasa kinu, tuhindura ekoragana n'ebyobuhangwa yaitu","The the end of this century, we transform our relationship with nature."
omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO,She works the accounting department for years before she became CFO.
abaire omukazi nakorra mukeeto kumara emyaka atkabaire CFO,She works in the accounting department for years before she became CFO.
ekituru kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
ekituru ndozirege kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
omutezi wenanga naijakuteranizaho omulere ha bandi,The harmonica player will add a bluesy feel to the band's sound.
omutezi naijakuteranizaho wenanga omulere ha bandi,The harmonica player will add a bluesy feel to the band's sound.
nijnja kwenga nobukuba ndi omuburumi-nikimanyisa nkyali mwomezi,I will learn to be even in pain-it means I'm still alive to feel.
nijnja kwenga kwenyumirizamu nobukuba ndi nkyali omuburumi-nikimanyisa mwomezi,I will learn to be grateful even in pain-it means I'm still alive to feel.
naija kutunga okwimukizibwa ha mulimo,He will receive a raise at work.
kutunga naija okwimukizibwa ha mulimo,He will receive a raise at work.
"dora ebinyonyi omumwanya; bitasige rundi okugesa, baitu iwe ise owomwiguru obirisa","Look at the birds of the air; they did not sow or reap, yet your heavenly father feeds them."
"dora ebinyonyi omumwanya; rundi bitasige okugesa, baitu iwe ise owomwiguru obirisa","Look at the birds of the air; they did not sow or reap, yet your heavenly father feeds them."
nkasiga ekihemeheme kandi kandi nakisindika hamutimbagano ijo,I draw a funny cartoon and posted it on social media yesterday.
nkasiga ekihemeheme kandi nakisindika kandi hamutimbagano ijo,I draw a funny cartoon and posted it on social media yesterday.
ntangainege munywani wange owaira ijo,I ran into an old friend yesterday.
ntangainege wange munywani owaira ijo,I ran into an old friend yesterday.
"hakumalira ye kyasa kinu, tuhindwire enkoragana yaitu n'ebyobuhangwa","The the end of century, we have transformed our relationship with nature."
"ye hakumalira kyasa kinu, tuhindwire enkoragana yaitu n'ebyobuhangwa","The the end of this century, we have transformed our relationship with nature."
omulimi ayombire omusiri gwe gwamuhogo wiiki ehwaire,The farmer has weeded his cassava field last week.
